param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,mean_test_score,std_test_score,mean_train_score,std_train_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time
gini,7,,2,20,best,0.8282504012841091,0.3771626625964205,0.8615247247784553,0.0012207817423795712,16,0.005557119176628884,0.0019991402536470733,0.0033418523748651938,0.002188062521041825
entropy,5,,4,2,random,0.826645264847512,0.37855365663628016,0.8379767022962225,0.0013836280056768139,21,0.004468892971547037,0.0020781002331846546,0.003032412613184456,0.001072853246335951
entropy,5,,4,5,random,0.826645264847512,0.37855365663628016,0.8379767022962225,0.0013836280056768139,21,0.004427036542570993,0.0010317459439451299,0.0030545488023834473,0.0008271406542614167
gini,7,,2,20,random,0.826645264847512,0.37855365663628016,0.8319664727771955,0.0020747937447684094,21,0.004468504536783332,0.0013063090365550568,0.0029404867518196902,0.0007295757014194097
entropy,5,,2,10,random,0.826645264847512,0.37855365663628016,0.8316413165215505,0.0013539400417887774,21,0.004505542843912042,0.001737918923683273,0.0030641276419258426,0.0009119585392008604
entropy,5,,4,10,random,0.826645264847512,0.37855365663628016,0.8379586380597978,0.0013956040825138245,21,0.004384052696044334,0.0010189654215010458,0.002992210571876881,0.0005694573495519181
gini,10,,4,5,best,0.826645264847512,0.37855365663628016,0.8767812627417381,0.00131245024175643,21,0.005530040872613653,0.0014777383634319362,0.0029675574019479524,0.0007754710438947316
entropy,5,,2,2,random,0.826645264847512,0.37855365663628016,0.8316516389423646,0.0013318923215928158,21,0.004372550052012142,0.0007751644213753471,0.0030734653840286965,0.0010371767831797115
gini,10,,4,2,best,0.826645264847512,0.37855365663628016,0.8767812627417381,0.00131245024175643,21,0.005554565839935841,0.0017728432378874392,0.0030960906566050426,0.0010703229889081744
entropy,5,,2,5,random,0.826645264847512,0.37855365663628016,0.8316516389423646,0.0013318923215928158,21,0.004330924770422579,0.0008595737722124215,0.0031391870152701535,0.0013454021277563627
gini,7,,4,10,best,0.8234349919743178,0.3813001520673352,0.8636072731777056,0.001290328407560146,30,0.005187338466246285,0.0016415636555482905,0.0029783157054723555,0.0006261374240880384
gini,15,,4,2,random,0.8234349919743178,0.3813001520673352,0.8527274416396134,0.003472909796487542,30,0.00458577892370821,0.0010137034502973917,0.0030091218351361074,0.0006509556297131704
gini,7,,1,20,best,0.8234349919743178,0.3813001520673352,0.8662988444049899,0.0012197939642098795,30,0.005266033053206785,0.0017303285533923096,0.0030161714477294137,0.0007384462331307322
gini,5,,2,5,random,0.8234349919743178,0.3813001520673352,0.8378915423245059,0.0010648491437883346,30,0.004314887581055275,0.001116302922254103,0.0030385931269123695,0.001114484854161843
entropy,15,,4,5,random,0.8234349919743178,0.3813001520673352,0.8532022729970635,0.002728833514741688,30,0.004807779915260082,0.0015792366455805314,0.003023876998436011,0.0007767839442391589
entropy,15,,4,2,random,0.8234349919743178,0.3813001520673352,0.8532022729970635,0.002728833514741688,30,0.00469529533080075,0.0008897979293059099,0.0031160079839715605,0.0015899909482170666
gini,5,,2,2,random,0.8234349919743178,0.3813001520673352,0.8378915423245059,0.0010648491437883346,30,0.0042287740814551875,0.0008433145667782429,0.0029778388683141524,0.000947619120093159
gini,15,,4,5,random,0.8234349919743178,0.3813001520673352,0.8527274416396134,0.003472909796487542,30,0.004655989176962961,0.0010618593328215768,0.003021929466896608,0.001037265905375734
gini,5,,8,20,random,0.8218298555377207,0.38265590820549183,0.8234117665274859,0.0007305164155793183,38,0.004309902221777657,0.0012349133428252578,0.0030384461722825543,0.0013612893250647753
entropy,10,log2,1,10,random,0.8218298555377207,0.38265590820549183,0.8506448932403627,0.0018563898817651173,38,0.00428412239968681,0.000729198060035783,0.0030102710662645855,0.0006396573177671308
