N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
3	Inverse Distance	Minkowski	Empty	10	0.977528	0.707865	0.765650
3	Negative Distance	Minkowski	Empty	1	0.866774	0.651685	0.688604
3	Negative Distance	Minkowski	Empty	2	0.873194	0.674157	0.682183
3	Negative Distance	Minkowski	Empty	3	0.876404	0.674157	0.677368
3	Negative Distance	Minkowski	Empty	4	0.878010	0.674157	0.675762
3	Negative Distance	Minkowski	Empty	5	0.873194	0.657303	0.680578
3	Negative Distance	Minkowski	Empty	6	0.873194	0.657303	0.682183
3	Negative Distance	Minkowski	Empty	7	0.876404	0.674157	0.686998
3	Negative Distance	Minkowski	Empty	8	0.868379	0.651685	0.683788
3	Negative Distance	Minkowski	Empty	9	0.868379	0.640449	0.680578
3	Negative Distance	Minkowski	Empty	10	0.866774	0.662921	0.674157
3	Hump	Minkowski	Empty	1	0.878010	0.752809	0.780096
3	Hump	Minkowski	Empty	2	0.882825	0.752809	0.778491
3	Hump	Minkowski	Empty	3	0.881220	0.752809	0.778491
3	Hump	Minkowski	Empty	4	0.879615	0.752809	0.781701
3	Hump	Minkowski	Empty	5	0.881220	0.752809	0.781701
3	Hump	Minkowski	Empty	6	0.879615	0.752809	0.781701
3	Hump	Minkowski	Empty	7	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	8	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	9	0.879615	0.752809	0.780096
3	Hump	Minkowski	Empty	10	0.881220	0.752809	0.788122
3	Decay	Minkowski	Empty	1	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	2	0.886035	0.752809	0.784912
3	Decay	Minkowski	Empty	3	0.882825	0.752809	0.783307
3	Decay	Minkowski	Empty	4	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	5	0.882825	0.752809	0.784912
3	Decay	Minkowski	Empty	6	0.881220	0.752809	0.784912
3	Decay	Minkowski	Empty	7	0.881220	0.752809	0.783307
3	Decay	Minkowski	Empty	8	0.881220	0.752809	0.781701
3	Decay	Minkowski	Empty	9	0.881220	0.752809	0.783307
3	Decay	Minkowski	Empty	10	0.882825	0.752809	0.791332
3	Normalized Negative Distance	Minkowski	Empty	1	0.977528	0.702247	0.739968
3	Normalized Negative Distance	Minkowski	Empty	2	0.982343	0.719101	0.743178
3	Normalized Negative Distance	Minkowski	Empty	3	0.982343	0.719101	0.744783
3	Normalized Negative Distance	Minkowski	Empty	4	0.982343	0.719101	0.741573
3	Normalized Negative Distance	Minkowski	Empty	5	0.977528	0.702247	0.746388
3	Normalized Negative Distance	Minkowski	Empty	6	0.977528	0.702247	0.746388
3	Normalized Negative Distance	Minkowski	Empty	7	0.982343	0.719101	0.747994
3	Normalized Negative Distance	Minkowski	Empty	8	0.977528	0.702247	0.744783
3	Normalized Negative Distance	Minkowski	Empty	9	0.977528	0.702247	0.741573
3	Normalized Negative Distance	Minkowski	Empty	10	0.977528	0.702247	0.739968
4	Always One	Minkowski	Empty	1	0.847512	0.764045	0.805778
4	Always One	Minkowski	Empty	2	0.849117	0.758427	0.797753
4	Always One	Minkowski	Empty	3	0.849117	0.758427	0.799358
4	Always One	Minkowski	Empty	4	0.847512	0.758427	0.799358
4	Always One	Minkowski	Empty	5	0.849117	0.758427	0.800963
4	Always One	Minkowski	Empty	6	0.847512	0.758427	0.799358
4	Always One	Minkowski	Empty	7	0.847512	0.758427	0.796148
4	Always One	Minkowski	Empty	8	0.849117	0.758427	0.796148
4	Always One	Minkowski	Empty	9	0.847512	0.769663	0.794543
4	Always One	Minkowski	Empty	10	0.845907	0.764045	0.797753
4	Inverse Distance	Minkowski	Empty	1	0.977528	0.707865	0.762440
4	Inverse Distance	Minkowski	Empty	2	0.982343	0.724719	0.764045
4	Inverse Distance	Minkowski	Empty	3	0.982343	0.724719	0.762440
4	Inverse Distance	Minkowski	Empty	4	0.977528	0.707865	0.762440
4	Inverse Distance	Minkowski	Empty	5	0.977528	0.707865	0.762440
4	Inverse Distance	Minkowski	Empty	6	0.977528	0.707865	0.762440
4	Inverse Distance	Minkowski	Empty	7	0.982343	0.724719	0.762440
4	Inverse Distance	Minkowski	Empty	8	0.977528	0.707865	0.764045
4	Inverse Distance	Minkowski	Empty	9	0.977528	0.707865	0.765650
4	Inverse Distance	Minkowski	Empty	10	0.977528	0.707865	0.767255
4	Negative Distance	Minkowski	Empty	1	0.776886	0.617978	0.585875
4	Negative Distance	Minkowski	Empty	2	0.776886	0.634831	0.603531
4	Negative Distance	Minkowski	Empty	3	0.768860	0.640449	0.601926
4	Negative Distance	Minkowski	Empty	4	0.770465	0.629213	0.598716
4	Negative Distance	Minkowski	Empty	5	0.765650	0.623596	0.601926
4	Negative Distance	Minkowski	Empty	6	0.768860	0.629213	0.598716
4	Negative Distance	Minkowski	Empty	7	0.778491	0.651685	0.603531
4	Negative Distance	Minkowski	Empty	8	0.772071	0.623596	0.608347
4	Negative Distance	Minkowski	Empty	9	0.757624	0.606742	0.605136
4	Negative Distance	Minkowski	Empty	10	0.768860	0.640449	0.603531
4	Hump	Minkowski	Empty	1	0.889246	0.758427	0.786517
4	Hump	Minkowski	Empty	2	0.886035	0.764045	0.789727
4	Hump	Minkowski	Empty	3	0.884430	0.764045	0.789727
4	Hump	Minkowski	Empty	4	0.882825	0.764045	0.791332
4	Hump	Minkowski	Empty	5	0.884430	0.764045	0.792937
4	Hump	Minkowski	Empty	6	0.882825	0.764045	0.791332
4	Hump	Minkowski	Empty	7	0.882825	0.764045	0.794543
4	Hump	Minkowski	Empty	8	0.882825	0.764045	0.794543
4	Hump	Minkowski	Empty	9	0.884430	0.764045	0.796148
4	Hump	Minkowski	Empty	10	0.882825	0.764045	0.797753
