N_NEIGHBORS	WEIGHTS	DISTANCE	WEIGHTS PARAMS	DIST PARAMS	TRAIN ACC	VAL ACC	CROSS VAL ACC
4	Decay	Minkowski	Empty	10	0.866774	0.735955	0.797753
4	Normalized Negative Distance	Minkowski	Empty	1	0.897271	0.735955	0.791332
4	Normalized Negative Distance	Minkowski	Empty	2	0.884430	0.702247	0.791332
4	Normalized Negative Distance	Minkowski	Empty	3	0.898876	0.730337	0.788122
4	Normalized Negative Distance	Minkowski	Empty	4	0.898876	0.730337	0.788122
4	Normalized Negative Distance	Minkowski	Empty	5	0.898876	0.730337	0.786517
4	Normalized Negative Distance	Minkowski	Empty	6	0.898876	0.730337	0.788122
4	Normalized Negative Distance	Minkowski	Empty	7	0.898876	0.730337	0.783307
4	Normalized Negative Distance	Minkowski	Empty	8	0.898876	0.730337	0.786517
4	Normalized Negative Distance	Minkowski	Empty	9	0.898876	0.730337	0.784912
4	Normalized Negative Distance	Minkowski	Empty	10	0.898876	0.730337	0.789727
5	Always One	Minkowski	Empty	1	0.837881	0.758427	0.804173
5	Always One	Minkowski	Empty	2	0.834671	0.769663	0.800963
5	Always One	Minkowski	Empty	3	0.837881	0.769663	0.804173
5	Always One	Minkowski	Empty	4	0.837881	0.769663	0.804173
5	Always One	Minkowski	Empty	5	0.837881	0.769663	0.804173
5	Always One	Minkowski	Empty	6	0.837881	0.769663	0.804173
5	Always One	Minkowski	Empty	7	0.839486	0.769663	0.805778
5	Always One	Minkowski	Empty	8	0.842697	0.764045	0.810594
5	Always One	Minkowski	Empty	9	0.842697	0.764045	0.810594
5	Always One	Minkowski	Empty	10	0.836276	0.764045	0.810594
5	Inverse Distance	Minkowski	Empty	1	0.916533	0.730337	0.781701
5	Inverse Distance	Minkowski	Empty	2	0.902087	0.719101	0.781701
5	Inverse Distance	Minkowski	Empty	3	0.916533	0.747191	0.781701
5	Inverse Distance	Minkowski	Empty	4	0.916533	0.747191	0.781701
5	Inverse Distance	Minkowski	Empty	5	0.916533	0.747191	0.781701
5	Inverse Distance	Minkowski	Empty	6	0.916533	0.747191	0.781701
5	Inverse Distance	Minkowski	Empty	7	0.916533	0.747191	0.776886
5	Inverse Distance	Minkowski	Empty	8	0.916533	0.735955	0.781701
5	Inverse Distance	Minkowski	Empty	9	0.916533	0.735955	0.780096
5	Inverse Distance	Minkowski	Empty	10	0.916533	0.741573	0.783307
5	Negative Distance	Minkowski	Empty	1	0.768860	0.629213	0.611557
5	Negative Distance	Minkowski	Empty	2	0.749599	0.584270	0.616372
5	Negative Distance	Minkowski	Empty	3	0.765650	0.612360	0.611557
5	Negative Distance	Minkowski	Empty	4	0.765650	0.612360	0.611557
5	Negative Distance	Minkowski	Empty	5	0.765650	0.612360	0.611557
5	Negative Distance	Minkowski	Empty	6	0.765650	0.612360	0.611557
5	Negative Distance	Minkowski	Empty	7	0.764045	0.612360	0.605136
5	Negative Distance	Minkowski	Empty	8	0.768860	0.612360	0.601926
5	Negative Distance	Minkowski	Empty	9	0.772071	0.612360	0.601926
